,Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
1,2,"Wang, Y Wang, C Hu, Z Yin, Y Song",Transformers for EEG-based emotion recognition: A hierarchical spatial information learning model,19,2022, ieeexplore.ieee.org, IEEE Sensors Journal,https://ieeexplore.ieee.org/abstract/document/9684393/,10
2,1,"Liu, L Zhang, H Wu, H Zhao",Transformers for EEG emotion recognition,20,2021, arxiv.org, arXiv preprint arXiv:2110.06553,https://arxiv.org/abs/2110.06553,7
3,5,"Li, Z Zhang, X Zhang, G Huang…",EEG-based emotion recognition via transformer neural architecture search,5,2022, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9763316/,2
4,9,"Arjun, AS Rajpoot…",Introducing attention mechanism for EEG signals: Emotion recognition with vision transformers,7,2021, ieeexplore.ieee.org, 2021 43rd Annual …,https://ieeexplore.ieee.org/abstract/document/9629837/,2
5,3," Guo, Q Cai, JP An, PY Chen, C Ma, JH Wan…",A Transformer based neural network for emotion recognition and visualizations of crucial EEG channels,3,2022, Elsevier, Physica A: Statistical …,https://www.sciencedirect.com/science/article/pii/S0378437122004642,2
6,24,Vazque,Emotion Recognition with Pre-Trained Transformers Using Multimodal Signals,0,2022, ieeexplore.ieee.org, 2022 10th …,https://ieeexplore.ieee.org/abstract/document/9953852/,0
